set,,name,number,unlimited,reverse,promo
Celestial Storm,Celestial Storm 31,Articuno-GX,31,1,0,0
Celestial Storm,Celestial Storm 32,Mudkip,32,2,0,0
Celestial Storm,Celestial Storm 33,Mudkip,33,2,0,0
Celestial Storm,Celestial Storm 34,Marshtomp,34,2,0,0
Celestial Storm,Celestial Storm 35,Swampert,35,2,0,0
Celestial Storm,Celestial Storm 36,Lotad,36,2,0,0
Celestial Storm,Celestial Storm 37,Lombre,37,1,0,0
Celestial Storm,Celestial Storm 39,Wailmer,39,2,0,0
Celestial Storm,Celestial Storm 40,Wailord,40,1,0,0
Celestial Storm,Celestial Storm 41,Clamperl,41,2,0,0
Celestial Storm,Celestial Storm 43,Gorebyss,43,2,0,0
Celestial Storm,Celestial Storm 44,Luvdisc,44,2,0,0
Celestial Storm,Celestial Storm 45,Regice,45,1,0,0
Celestial Storm,Celestial Storm 46,Kyogre,46,1,0,0
Celestial Storm,Celestial Storm 47,Voltorb,47,2,0,0
Celestial Storm,Celestial Storm 49,Chinchou,49,2,1,0
Celestial Storm,Celestial Storm 50,Lanturn,50,1,0,0
Celestial Storm,Celestial Storm 51,Electrike,51,1,0,0
Celestial Storm,Celestial Storm 53,Plusle,53,1,0,0
Celestial Storm,Celestial Storm 54,Minun,54,0,1,0
Celestial Storm,Celestial Storm 55,Oricorio,55,1,0,0
Celestial Storm,Celestial Storm 57,Gulpin,57,2,1,0
Celestial Storm,Celestial Storm 58,Swalot,58,1,0,0
Celestial Storm,Celestial Storm 59,Spoink,59,2,0,0
Celestial Storm,Celestial Storm 62,Solrock,62,1,0,0
Celestial Storm,Celestial Storm 63,Shuppet,63,2,0,0
Celestial Storm,Celestial Storm 64,Shuppet,64,2,0,0
Celestial Storm,Celestial Storm 65,Banette,65,1,0,0
Celestial Storm,Celestial Storm 67,Deoxys,67,1,1,0
Celestial Storm,Celestial Storm 68,Deoxys,68,2,0,0
Celestial Storm,Celestial Storm 69,Deoxys,69,2,0,0
Celestial Storm,Celestial Storm 71,Onix,71,1,0,0
Celestial Storm,Celestial Storm 72,Phanpy,72,2,0,0
Celestial Storm,Celestial Storm 73,Donphan,73,1,1,0
Celestial Storm,Celestial Storm 74,Larvitar,74,2,0,0
Celestial Storm,Celestial Storm 75,Pupitar,75,1,0,0
Celestial Storm,Celestial Storm 76,Meditite,76,1,0,0
Celestial Storm,Celestial Storm 78,Baltoy,78,2,0,0
Celestial Storm,Celestial Storm 80,Regirock,80,1,1,0
Celestial Storm,Celestial Storm 81,Groudon,81,1,0,0
Celestial Storm,Celestial Storm 82,Palossand-GX,82,1,0,0
Celestial Storm,Celestial Storm 83,Minior,83,2,0,0
Celestial Storm,Celestial Storm 84,Alolan Rattata,84,2,0,0
Celestial Storm,Celestial Storm 85,Alolan Raticate-GX,85,1,0,0
Celestial Storm,Celestial Storm 86,Sneasel,86,2,0,0
Celestial Storm,Celestial Storm 87,Tyranitar,87,2,1,0
Celestial Storm,Celestial Storm 88,Sableye,88,1,0,0
Celestial Storm,Celestial Storm 91,Mawile,91,1,1,0
Celestial Storm,Celestial Storm 92,Beldum,92,2,0,0
Celestial Storm,Celestial Storm 93,Beldum,93,2,0,0
Celestial Storm,Celestial Storm 95,Metagross,95,1,0,0
Celestial Storm,Celestial Storm 96,Registeel,96,1,1,0
Celestial Storm,Celestial Storm 97,Jirachi ◇,97,1,0,0
Celestial Storm,Celestial Storm 99,Solgaleo,99,1,0,0
Celestial Storm,Celestial Storm 101,Kartana,101,2,0,0
Celestial Storm,Celestial Storm 103,Bagon,103,2,0,0
Celestial Storm,Celestial Storm 104,Bagon,104,1,0,0
Celestial Storm,Celestial Storm 107,Latias ◇,107,1,0,0
Celestial Storm,Celestial Storm 109,Rayquaza-GX,109,2,0,0
Celestial Storm,Celestial Storm 110,Dunsparce,110,2,0,0
Celestial Storm,Celestial Storm 111,Wingull,111,2,0,0
Celestial Storm,Celestial Storm 112,Pelipper,112,2,0,0
Celestial Storm,Celestial Storm 113,Slakoth,113,2,0,0
Celestial Storm,Celestial Storm 114,Vigoroth,114,1,1,0
Celestial Storm,Celestial Storm 116,Whismur,116,2,0,0
Celestial Storm,Celestial Storm 117,Whismur,117,1,1,0
Celestial Storm,Celestial Storm 118,Loudred,118,1,0,0
Celestial Storm,Celestial Storm 119,Exploud,119,1,0,0
Celestial Storm,Celestial Storm 120,Skitty,120,2,0,0
Celestial Storm,Celestial Storm 121,Delcatty,121,1,0,0
Celestial Storm,Celestial Storm 122,Kecleon,122,2,0,0
Celestial Storm,Celestial Storm 123,Acro Bike,123,2,0,0
Celestial Storm,Celestial Storm 124,Apricorn Maker,124,1,1,0
Celestial Storm,Celestial Storm 125,Beast Ball,125,1,0,0
Celestial Storm,Celestial Storm 126,Bill's Maintenance,126,2,0,0
Celestial Storm,Celestial Storm 127,Copycat,127,1,0,0
Celestial Storm,Celestial Storm 128,Energy Recycle System,128,1,0,0
Celestial Storm,Celestial Storm 129,Energy Switch,129,1,0,0
Celestial Storm,Celestial Storm 130,Fisherman,130,2,1,0
Celestial Storm,Celestial Storm 131,Friend Ball,131,1,0,0
Celestial Storm,Celestial Storm 132,Hau,132,2,0,0
Celestial Storm,Celestial Storm 133,Hiker,133,2,0,0
Celestial Storm,Celestial Storm 134,Hustle Belt,134,1,0,0
Celestial Storm,Celestial Storm 135,Last Chance Potion,135,2,0,0
Celestial Storm,Celestial Storm 137,Lisia,137,2,0,0
Celestial Storm,Celestial Storm 138,Lure Ball,138,2,0,0
Celestial Storm,Celestial Storm 139,The Masked Royal,139,2,0,0
Celestial Storm,Celestial Storm 140,PokéNav,140,1,1,0
Celestial Storm,Celestial Storm 142,Rare Candy,142,2,0,0
Celestial Storm,Celestial Storm 143,Shrine of Punishment,143,0,1,0
Celestial Storm,Celestial Storm 146,Super Scoop Up,146,2,0,0
Celestial Storm,Celestial Storm 147,Switch,147,2,0,0
Celestial Storm,Celestial Storm 148,Tate & Liza,148,3,0,0
Celestial Storm,Celestial Storm 149,TV Reporter,149,2,0,0
Celestial Storm,Celestial Storm 150,Underground Expedition,150,2,1,0
Celestial Storm,Celestial Storm 151,Rainbow Energy,151,2,0,0
Dragon Majesty,Dragon Majesty 1,Charmander,1,1,0,0
Dragon Majesty,Dragon Majesty 4,Torchic,4,1,0,0
Dragon Majesty,Dragon Majesty 8,Darumaka,8,1,0,0
Dragon Majesty,Dragon Majesty 19,Magikarp,19,1,0,0
Dragon Majesty,Dragon Majesty 20,Gyarados,20,1,0,0
Dragon Majesty,Dragon Majesty 24,Feraligatr,24,1,0,0
Dragon Majesty,Dragon Majesty 27,Corsola,27,1,0,0
Dragon Majesty,Dragon Majesty 28,Feebas,28,2,0,0
Dragon Majesty,Dragon Majesty 29,Milotic,29,1,0,0
Dragon Majesty,Dragon Majesty 30,Phione,30,1,0,0
Dragon Majesty,Dragon Majesty 31,Wishiwashi,31,2,0,0
Dragon Majesty,Dragon Majesty 32,Trapinch,32,1,0,0
Dragon Majesty,Dragon Majesty 33,Hydreigon,33,1,0,0
Dragon Majesty,Dragon Majesty 34,Dratini,34,0,1,0
Dragon Majesty,Dragon Majesty 36,Dragonair,36,0,1,0
Dragon Majesty,Dragon Majesty 38,Vibrava,38,1,0,0
Dragon Majesty,Dragon Majesty 42,Bagon,42,1,0,0
Dragon Majesty,Dragon Majesty 46,Zekrom,46,1,0,0
Dragon Majesty,Dragon Majesty 49,Zygarde,49,1,0,0
Dragon Majesty,Dragon Majesty 51,Drampa,51,1,0,0
Dragon Majesty,Dragon Majesty 53,Hakamo-o,53,1,0,0
Dragon Majesty,Dragon Majesty 54,Kommo-o,54,1,0,0
Dragon Majesty,Dragon Majesty 55,Kangaskhan,55,1,0,0
Dragon Majesty,Dragon Majesty 57,Swablu,57,1,0,0
Dragon Majesty,Dragon Majesty 61,Lance ,61,1,0,0
Lost Thunder,Lost Thunder 1,Tangela,1,1,2,0
Lost Thunder,Lost Thunder 3,Scyther,3,2,0,0
Lost Thunder,Lost Thunder 4,Pinsir,4,2,0,0
Lost Thunder,Lost Thunder 5,Chikorita,5,1,0,0
Lost Thunder,Lost Thunder 6,Chikorita,6,1,0,0
Lost Thunder,Lost Thunder 7,Bayleef,7,2,0,0
Lost Thunder,Lost Thunder 9,Spinarak,9,2,0,0
Lost Thunder,Lost Thunder 11,Hoppip,11,1,0,0
Lost Thunder,Lost Thunder 12,Hoppip,12,1,0,0
Lost Thunder,Lost Thunder 13,Skiploom,13,1,0,0
Lost Thunder,Lost Thunder 17,Shuckle-GX,17,1,0,0
Lost Thunder,Lost Thunder 18,Heracross,18,2,0,0
Lost Thunder,Lost Thunder 19,Celebi ◇,19,1,0,0
Lost Thunder,Lost Thunder 20,Treecko,20,2,0,0
Lost Thunder,Lost Thunder 21,Grovyle,21,2,0,0
Lost Thunder,Lost Thunder 23,Wurmple,23,2,0,0
Lost Thunder,Lost Thunder 24,Wurmple,24,2,1,0
Lost Thunder,Lost Thunder 25,Silcoon,25,2,0,0
Lost Thunder,Lost Thunder 26,Beautifly,26,1,0,0
Lost Thunder,Lost Thunder 27,Cascoon,27,1,0,0
Lost Thunder,Lost Thunder 28,Dustox,28,1,0,0
Lost Thunder,Lost Thunder 29,Nincada,29,2,0,0
Lost Thunder,Lost Thunder 30,Ninjask,30,1,0,0
Lost Thunder,Lost Thunder 31,Combee,31,2,0,0
Lost Thunder,Lost Thunder 32,Vespiquen,32,1,0,0
Lost Thunder,Lost Thunder 35,Skiddo,35,2,0,0
Lost Thunder,Lost Thunder 36,Gogoat,36,1,0,0
Lost Thunder,Lost Thunder 38,Moltres,38,1,1,0
Lost Thunder,Lost Thunder 39,Cyndaquil,39,1,0,0
Lost Thunder,Lost Thunder 40,Cyndaquil,40,1,0,0
Lost Thunder,Lost Thunder 42,Typhlosion,42,1,0,0
Lost Thunder,Lost Thunder 43,Slugma,43,1,0,0
Lost Thunder,Lost Thunder 45,Houndour,45,2,1,0
Lost Thunder,Lost Thunder 47,Entei,47,2,0,0
Lost Thunder,Lost Thunder 49,Victini,49,2,0,0
Lost Thunder,Lost Thunder 50,Litleo,50,2,0,0
Lost Thunder,Lost Thunder 53,Alolan Vulpix,53,1,1,0
Lost Thunder,Lost Thunder 54,Slowpoke,54,1,0,0
Lost Thunder,Lost Thunder 57,Delibird,57,1,0,0
Lost Thunder,Lost Thunder 58,Mantine,58,1,0,0
Lost Thunder,Lost Thunder 59,Suicune,59,0,1,0
Lost Thunder,Lost Thunder 61,Cubchoo,61,2,0,0
Lost Thunder,Lost Thunder 63,White Kyurem,63,1,0,0
Lost Thunder,Lost Thunder 64,Popplio,64,2,1,0
Lost Thunder,Lost Thunder 65,Popplio,65,1,0,0
Lost Thunder,Lost Thunder 66,Brionne,66,2,0,0
Lost Thunder,Lost Thunder 67,Primarina,67,1,0,0
Lost Thunder,Lost Thunder 68,Mareanie,68,2,0,0
Lost Thunder,Lost Thunder 70,Bruxish,70,2,0,0
Lost Thunder,Lost Thunder 71,Electabuzz,71,1,0,0
Lost Thunder,Lost Thunder 73,Chinchou,73,1,0,0
Lost Thunder,Lost Thunder 74,Lanturn,74,1,0,0
Lost Thunder,Lost Thunder 75,Mareep,75,2,0,0
Lost Thunder,Lost Thunder 77,Flaaffy,77,1,0,0
Lost Thunder,Lost Thunder 78,Ampharos,78,0,1,0
Lost Thunder,Lost Thunder 79,Raikou,79,2,0,0
Lost Thunder,Lost Thunder 80,Pachirisu,80,2,0,0
Lost Thunder,Lost Thunder 81,Blitzle,81,2,0,0
Lost Thunder,Lost Thunder 82,Zebstrika,82,1,0,0
Lost Thunder,Lost Thunder 83,Stunfisk,83,1,0,0
Lost Thunder,Lost Thunder 84,Dedenne,84,1,1,0
Lost Thunder,Lost Thunder 85,Tapu Koko,85,1,0,0
Lost Thunder,Lost Thunder 87,Natu,87,2,0,0
Lost Thunder,Lost Thunder 88,Xatu,88,1,0,0
Lost Thunder,Lost Thunder 89,Espeon,89,1,0,0
Lost Thunder,Lost Thunder 90,Unown,90,1,0,0
Lost Thunder,Lost Thunder 91,Unown,91,2,0,0
Lost Thunder,Lost Thunder 94,Girafarig,94,0,1,0
Lost Thunder,Lost Thunder 95,Shedinja,95,1,1,0
Lost Thunder,Lost Thunder 96,Sableye,96,1,0,0
Lost Thunder,Lost Thunder 99,Yamask,99,2,1,0
Lost Thunder,Lost Thunder 101,Litwick,101,1,0,0
Lost Thunder,Lost Thunder 102,Lampent,102,1,0,0
Lost Thunder,Lost Thunder 103,Chandelure,103,1,0,0
Lost Thunder,Lost Thunder 104,Meloetta,104,1,0,0
Lost Thunder,Lost Thunder 106,Nihilego,106,1,1,0
Lost Thunder,Lost Thunder 107,Poipole,107,2,0,0
Lost Thunder,Lost Thunder 108,Naganadel,108,1,1,0
Lost Thunder,Lost Thunder 109,Onix,109,2,0,0
Lost Thunder,Lost Thunder 110,Sudowoodo,110,2,0,0
Lost Thunder,Lost Thunder 111,Phanpy,111,2,0,0
Lost Thunder,Lost Thunder 112,Donphan,112,1,0,0
Lost Thunder,Lost Thunder 113,Hitmontop,113,2,0,0
Lost Thunder,Lost Thunder 114,Larvitar,114,1,0,0
Lost Thunder,Lost Thunder 116,Pupitar,116,0,1,0
Lost Thunder,Lost Thunder 117,Carbink,117,2,0,0
Lost Thunder,Lost Thunder 118,Alolan Meowth,118,1,1,0
Lost Thunder,Lost Thunder 119,Alolan Persian,119,0,1,0
Lost Thunder,Lost Thunder 120,Umbreon,120,0,1,0
Lost Thunder,Lost Thunder 121,Tyranitar-GX,121,1,0,0
Lost Thunder,Lost Thunder 122,Alolan Diglett,122,2,0,0
Lost Thunder,Lost Thunder 123,Alolan Dugtrio,123,1,0,0
Lost Thunder,Lost Thunder 124,Forretress,124,0,1,0
Lost Thunder,Lost Thunder 125,Steelix,125,2,0,0
Lost Thunder,Lost Thunder 126,Scizor,126,0,1,0
Lost Thunder,Lost Thunder 127,Dialga,127,1,0,0
Lost Thunder,Lost Thunder 128,Durant,128,2,1,0
Lost Thunder,Lost Thunder 129,Cobalion,129,0,1,0
Lost Thunder,Lost Thunder 131,Magearna,131,1,0,0
Lost Thunder,Lost Thunder 133,Jigglypuff,133,1,0,0
Lost Thunder,Lost Thunder 134,Wigglytuff,134,1,0,0
Lost Thunder,Lost Thunder 135,Marill,135,2,0,0
Lost Thunder,Lost Thunder 137,Snubbull,137,2,0,0
Lost Thunder,Lost Thunder 138,Granbull,138,2,0,0
Lost Thunder,Lost Thunder 139,Ralts,139,1,0,0
Lost Thunder,Lost Thunder 140,Kirlia,140,1,0,0
Lost Thunder,Lost Thunder 141,Gardevoir,141,2,0,0
Lost Thunder,Lost Thunder 142,Dedenne,142,2,0,0
Lost Thunder,Lost Thunder 143,Carbink,143,1,0,0
Lost Thunder,Lost Thunder 144,Xerneas ◇,144,1,0,0
Lost Thunder,Lost Thunder 145,Cutiefly,145,1,0,0
Lost Thunder,Lost Thunder 147,Morelull,147,1,1,0
Lost Thunder,Lost Thunder 148,Shiinotic,148,1,0,0
Lost Thunder,Lost Thunder 149,Mimikyu-GX,149,1,0,0
Lost Thunder,Lost Thunder 150,Tapu Lele,150,1,0,0
Lost Thunder,Lost Thunder 152,Chansey,152,2,0,0
Lost Thunder,Lost Thunder 153,Blissey,153,1,0,0
Lost Thunder,Lost Thunder 154,Ditto ◇,154,1,0,0
Lost Thunder,Lost Thunder 155,Eevee,155,2,0,0
Lost Thunder,Lost Thunder 157,Smeargle,157,2,0,0
Lost Thunder,Lost Thunder 160,Ho-Oh,160,1,0,0
Lost Thunder,Lost Thunder 162,Kecleon,162,2,1,0
Lost Thunder,Lost Thunder 163,Pikipek,163,2,0,0
Lost Thunder,Lost Thunder 164,Pikipek,164,2,2,0
Lost Thunder,Lost Thunder 165,Trumbeak,165,2,0,0
Lost Thunder,Lost Thunder 166,Toucannon,166,0,1,0
Lost Thunder,Lost Thunder 167,Adventure Bag,167,2,0,0
Lost Thunder,Lost Thunder 168,Aether Foundation Employee,168,1,0,0
Lost Thunder,Lost Thunder 169,Choice Helmet,169,2,0,0
Lost Thunder,Lost Thunder 171,Custom Catcher,171,2,0,0
Lost Thunder,Lost Thunder 172,Electropower,172,1,0,0
Lost Thunder,Lost Thunder 173,Faba,173,1,0,0
Lost Thunder,Lost Thunder 174,Fairy Charm Grass,174,1,0,0
Lost Thunder,Lost Thunder 175,Fairy Charm Psychic,175,1,0,0
Lost Thunder,Lost Thunder 177,Fairy Charm Dragon,177,1,0,0
Lost Thunder,Lost Thunder 179,Kahili,179,2,0,0
Lost Thunder,Lost Thunder 181,Lost Blender,181,1,0,0
Lost Thunder,Lost Thunder 183,Mina,183,1,0,0
Lost Thunder,Lost Thunder 184,Mixed Herbs,184,0,1,0
Lost Thunder,Lost Thunder 185,Moomoo Milk,185,1,0,0
Lost Thunder,Lost Thunder 187,Net Ball,187,1,0,0
Lost Thunder,Lost Thunder 188,Professor Elm’s Lecture,188,1,0,0
Lost Thunder,Lost Thunder 189,Sightseer,189,2,0,0
Lost Thunder,Lost Thunder 190,Spell Tag,190,2,0,0
Lost Thunder,Lost Thunder 191,Thunder Mountain ◇,191,1,0,0
Lost Thunder,Lost Thunder 192,Wait and See Hammer,192,1,1,0
Lost Thunder,Lost Thunder 193,Whitney,193,1,0,0
Lost Thunder,Lost Thunder 194,Memory Energy,194,1,0,0
Lost Thunder,Lost Thunder 198,Magcargo-GX,198,1,0,0
Lost Thunder,Lost Thunder 218,Magcargo-GX,218,1,0,0
Lost Thunder,Lost Thunder 223,Tyranitar-GX,223,1,0,0
Lost Thunder,Lost Thunder 233,Lost Blender,233,1,0,0
McDonald's Promos 2017,McDonald's Promos 2017 2,Grubbin,2,0,0,1
McDonald's Promos 2017,McDonald's Promos 2017 3,Litten,3,0,0,1
McDonald's Promos 2015,McDonald's Promos 2015 5,Mudkip,5,0,0,1
McDonald's Promos 2018,McDonald's Promos 2018 1,Growlithe,1,0,0,1
McDonald's Promos 2018,McDonald's Promos 2018 7,Cubone,7,0,0,1
McDonald's Promos 2018,McDonald's Promos 2018 8,Magnemite,8,0,0,1
McDonald's Promos 2018,McDonald's Promos 2018 9,Dratini,9,0,0,1
McDonald's Promos 2018,McDonald's Promos 2018 12,Porygon,12,0,0,1
McDonald's Promos 2011,McDonald's Promos 2011 5,Alomomola,5,0,0,1
Team Up,Team Up 1,Celebi & Venusaur-GX,1,1,0,0
Team Up,Team Up 2,Weedle,2,0,1,0
Team Up,Team Up 3,Weedle,3,2,0,0
Team Up,Team Up 4,Kakuna,4,1,0,0
Team Up,Team Up 6,Paras,6,2,1,0
Team Up,Team Up 7,Parasect,7,0,1,0
Team Up,Team Up 8,Exeggcute,8,2,0,0
Team Up,Team Up 9,Pinsir,9,1,0,0
Team Up,Team Up 11,Charmander,11,2,0,0
Team Up,Team Up 12,Charmander,12,2,0,0
Team Up,Team Up 13,Charmeleon,13,1,1,0
Team Up,Team Up 14,Charizard,14,1,0,0
Team Up,Team Up 15,Vulpix,15,1,0,0
Team Up,Team Up 16,Ninetales,16,1,0,0
Team Up,Team Up 17,Ponyta,17,1,0,0
Team Up,Team Up 18,Rapidash,18,2,0,0
Team Up,Team Up 20,Litten,20,2,1,0
Team Up,Team Up 21,Torracat,21,1,0,0
Team Up,Team Up 22,Squirtle,22,1,0,0
Team Up,Team Up 23,Squirtle,23,2,0,0
Team Up,Team Up 25,Blastoise,25,1,0,0
Team Up,Team Up 26,Psyduck,26,2,0,0
Team Up,Team Up 27,Golduck,27,1,1,0
Team Up,Team Up 28,Staryu,28,2,2,0
Team Up,Team Up 29,Magikarp,29,2,0,0
Team Up,Team Up 33,Pikachu & Zekrom-GX,33,2,0,0
Team Up,Team Up 34,Alolan Geodude,34,1,0,0
Team Up,Team Up 35,Alolan Geodude,35,2,1,0
Team Up,Team Up 36,Alolan Graveler,36,1,1,0
Team Up,Team Up 37,Alolan Golem,37,2,0,0
Team Up,Team Up 38,Voltorb,38,2,0,0
Team Up,Team Up 40,Zapdos,40,0,1,0
Team Up,Team Up 41,Mareep,41,2,2,0
Team Up,Team Up 42,Flaaffy,42,2,0,0
Team Up,Team Up 43,Ampharos-GX,43,1,0,0
Team Up,Team Up 44,Blitzle,44,1,0,0
Team Up,Team Up 45,Zebstrika,45,2,0,0
Team Up,Team Up 46,Emolga,46,2,0,0
Team Up,Team Up 47,Joltik,47,1,0,0
Team Up,Team Up 48,Galvantula,48,1,0,0
Team Up,Team Up 49,Helioptile,49,2,0,0
Team Up,Team Up 50,Heliolisk,50,1,0,0
Team Up,Team Up 51,Tapu Koko ◇,51,2,0,0
Team Up,Team Up 52,Zeraora,52,1,0,0
Team Up,Team Up 53,Gengar & Mimikyu-GX,53,1,0,0
Team Up,Team Up 54,Nidoran♀,54,1,0,0
Team Up,Team Up 55,Nidorina,55,2,0,0
Team Up,Team Up 57,Nidoran♂,57,1,0,0
Team Up,Team Up 59,Nidoking,59,2,0,0
Team Up,Team Up 60,Tentacool,60,2,1,0
Team Up,Team Up 61,Tentacruel,61,1,0,0
Team Up,Team Up 62,Grimer,62,2,0,0
Team Up,Team Up 63,Muk,63,1,0,0
Team Up,Team Up 68,Jynx,68,2,1,0
Team Up,Team Up 69,Cosmog,69,2,0,0
Team Up,Team Up 70,Cosmoem,70,2,0,0
Team Up,Team Up 71,Mankey,71,2,0,0
Team Up,Team Up 72,Primeape,72,1,0,0
Team Up,Team Up 73,Hitmonlee,73,1,0,0
Team Up,Team Up 74,Hitmonchan,74,1,0,0
Team Up,Team Up 77,Kabuto,77,1,0,0
Team Up,Team Up 78,Kabutops,78,1,0,0
Team Up,Team Up 79,Larvitar,79,1,1,0
Team Up,Team Up 80,Pupitar,80,1,0,0
Team Up,Team Up 81,Pancham,81,2,0,0
Team Up,Team Up 83,Alolan Grimer,83,1,0,0
Team Up,Team Up 86,Poochyena,86,2,0,0
Team Up,Team Up 87,Mightyena,87,1,0,0
Team Up,Team Up 88,Absol,88,3,0,0
Team Up,Team Up 89,Spiritomb,89,2,0,0
Team Up,Team Up 90,Zorua,90,2,1,0
Team Up,Team Up 92,Vullaby,92,2,0,0
Team Up,Team Up 94,Pangoro,94,0,1,0
Team Up,Team Up 96,Hoopa-GX,96,1,0,0
Team Up,Team Up 98,Skarmory,98,1,0,0
Team Up,Team Up 100,Bronzor,100,2,0,0
Team Up,Team Up 102,Ferroseed,102,2,0,0
Team Up,Team Up 103,Ferrothorn,103,1,0,0
Team Up,Team Up 104,Pawniard,104,1,0,0
Team Up,Team Up 107,Honedge,107,2,1,0
Team Up,Team Up 108,Doublade,108,2,1,0
Team Up,Team Up 109,Aegislash,109,1,1,0
Team Up,Team Up 110,Klefki,110,1,0,0
Team Up,Team Up 111,Alolan Ninetales,111,2,0,0
Team Up,Team Up 114,Alolan Exeggutor,114,1,1,0
Team Up,Team Up 116,Dratini,116,2,0,0
Team Up,Team Up 117,Dratini,117,2,0,0
Team Up,Team Up 118,Dragonair,118,2,0,0
Team Up,Team Up 119,Dragonite,119,0,1,0
Team Up,Team Up 121,Pidgey,121,1,0,0
Team Up,Team Up 122,Pidgey,122,2,0,0
Team Up,Team Up 123,Pidgeotto,123,2,0,0
Team Up,Team Up 124,Pidgeot,124,2,0,0
Team Up,Team Up 125,Meowth,125,2,0,0
Team Up,Team Up 126,Persian,126,2,0,0
Team Up,Team Up 127,Farfetch'd,127,1,0,0
Team Up,Team Up 128,Kangaskhan,128,2,0,0
Team Up,Team Up 129,Tauros,129,0,1,0
Team Up,Team Up 130,Aerodactyl,130,2,0,0
Team Up,Team Up 131,Lugia,131,2,0,0
Team Up,Team Up 132,Zangoose,132,0,1,0
Team Up,Team Up 135,Brock's Grit,135,2,1,0
Team Up,Team Up 137,Dana,137,2,0,0
Team Up,Team Up 139,Electrocharger,139,2,0,0
Team Up,Team Up 141,Evelyn,141,1,1,0
Team Up,Team Up 142,Fairy Charm UB,142,2,0,0
Team Up,Team Up 143,Grass Memory,143,1,0,0
Team Up,Team Up 145,Jasmine,145,2,0,0
Team Up,Team Up 147,Lavender Town,147,1,2,0
Team Up,Team Up 148,Metal Goggles,148,1,0,0
Team Up,Team Up 149,Morgan,149,2,0,0
Team Up,Team Up 150,Nanu,150,1,0,0
Team Up,Team Up 151,Nita,151,1,0,0
Team Up,Team Up 152,Pokémon Communication,152,6,0,0
Team Up,Team Up 153,Return Label,153,2,0,0
Team Up,Team Up 154,Sabrina’s Suggestion,154,1,0,0
Team Up,Team Up 155,Unidentified Fossil,155,2,0,0
Team Up,Team Up 156,Viridian Forest,156,2,0,0
Team Up,Team Up 157,Water Memory,157,0,1,0
Unbroken Bonds,Unbroken Bonds 2,Caterpie,2,2,0,0
Unbroken Bonds,Unbroken Bonds 3,Metapod,3,1,0,0
Unbroken Bonds,Unbroken Bonds 4,Butterfree,4,1,0,0
Unbroken Bonds,Unbroken Bonds 5,Oddish,5,2,2,0
Unbroken Bonds,Unbroken Bonds 6,Oddish,6,2,0,0
Unbroken Bonds,Unbroken Bonds 7,Gloom,7,2,1,0
Unbroken Bonds,Unbroken Bonds 9,Venonat,9,2,0,0
Unbroken Bonds,Unbroken Bonds 11,Venomoth,11,2,0,0
